City,Week,Product,Quantity Ordered
Atlanta,11,USB-C Charging Cable,35
Atlanta,11,Vareebadd Phone,7
Atlanta,11,Wired Headphones,51
Atlanta,11,iPhone,10
Atlanta,12,20in Monitor,6
Atlanta,12,27in 4K Gaming Monitor,6
Atlanta,12,27in FHD Monitor,9
Atlanta,12,34in Ultrawide Monitor,12
Atlanta,12,AA Batteries (4-pack),38
Atlanta,12,AAA Batteries (4-pack),35
Atlanta,12,Apple Airpods Headphones,26
Atlanta,12,Bose SoundSport Headphones,20
Atlanta,12,Flatscreen TV,6
Atlanta,12,Google Phone,9
Atlanta,12,LG Dryer,1
Atlanta,12,LG Washing Machine,3
Atlanta,12,Lightning Charging Cable,37
Atlanta,12,Macbook Pro Laptop,5
Atlanta,12,ThinkPad Laptop,5
Atlanta,12,USB-C Charging Cable,28
Atlanta,12,Vareebadd Phone,3
Atlanta,12,Wired Headphones,27
Atlanta,12,iPhone,11
Atlanta,13,20in Monitor,6
Atlanta,13,27in 4K Gaming Monitor,8
Atlanta,13,27in FHD Monitor,13
Atlanta,13,34in Ultrawide Monitor,10
Atlanta,13,AA Batteries (4-pack),46
Atlanta,13,AAA Batteries (4-pack),44
Atlanta,13,Apple Airpods Headphones,28
Atlanta,13,Bose SoundSport Headphones,18
Atlanta,13,Flatscreen TV,11
Atlanta,13,Google Phone,13
Atlanta,13,LG Dryer,1
Atlanta,13,Lightning Charging Cable,27
Atlanta,13,Macbook Pro Laptop,8
Atlanta,13,ThinkPad Laptop,7
Atlanta,13,USB-C Charging Cable,26
Atlanta,13,Vareebadd Phone,5
Atlanta,13,Wired Headphones,36
Atlanta,13,iPhone,9
Atlanta,14,20in Monitor,7
Atlanta,14,27in 4K Gaming Monitor,9
Atlanta,14,27in FHD Monitor,21
Atlanta,14,34in Ultrawide Monitor,11
Atlanta,14,AA Batteries (4-pack),44
Atlanta,14,AAA Batteries (4-pack),48
Atlanta,14,Apple Airpods Headphones,30
Atlanta,14,Bose SoundSport Headphones,22
Atlanta,14,Flatscreen TV,9
Atlanta,14,Google Phone,11
Atlanta,14,LG Dryer,2
Atlanta,14,LG Washing Machine,1
Atlanta,14,Lightning Charging Cable,49
Atlanta,14,Macbook Pro Laptop,9
Atlanta,14,ThinkPad Laptop,9
Atlanta,14,USB-C Charging Cable,38
Atlanta,14,Vareebadd Phone,4
Atlanta,14,Wired Headphones,25
Atlanta,14,iPhone,17
Atlanta,15,20in Monitor,7
Atlanta,15,27in 4K Gaming Monitor,5
Atlanta,15,27in FHD Monitor,12
Atlanta,15,34in Ultrawide Monitor,11
Atlanta,15,AA Batteries (4-pack),51
Atlanta,15,AAA Batteries (4-pack),55
Atlanta,15,Apple Airpods Headphones,34
Atlanta,15,Bose SoundSport Headphones,29
Atlanta,15,Flatscreen TV,6
Atlanta,15,Google Phone,9
Atlanta,15,LG Washing Machine,2
Atlanta,15,Lightning Charging Cable,48
Atlanta,15,Macbook Pro Laptop,8
Atlanta,15,ThinkPad Laptop,10
Atlanta,15,USB-C Charging Cable,43
Atlanta,15,Vareebadd Phone,8
Atlanta,15,Wired Headphones,38
Atlanta,15,iPhone,17
Atlanta,16,20in Monitor,9
Atlanta,16,27in 4K Gaming Monitor,7
Atlanta,16,27in FHD Monitor,12
Atlanta,16,34in Ultrawide Monitor,9
Atlanta,16,AA Batteries (4-pack),47
Atlanta,16,AAA Batteries (4-pack),51
Atlanta,16,Apple Airpods Headphones,28
Atlanta,16,Bose SoundSport Headphones,25
Atlanta,16,Flatscreen TV,13
Atlanta,16,Google Phone,11
Atlanta,16,LG Dryer,3
Atlanta,16,LG Washing Machine,1
Atlanta,16,Lightning Charging Cable,50
Atlanta,16,Macbook Pro Laptop,7
Atlanta,16,ThinkPad Laptop,7
Atlanta,16,USB-C Charging Cable,42
Atlanta,16,Vareebadd Phone,2
Atlanta,16,Wired Headphones,43
Atlanta,16,iPhone,17
Atlanta,17,20in Monitor,4
Atlanta,17,27in 4K Gaming Monitor,13
Atlanta,17,27in FHD Monitor,15
Atlanta,17,34in Ultrawide Monitor,8
Atlanta,17,AA Batteries (4-pack),55
Atlanta,17,AAA Batteries (4-pack),76
Atlanta,17,Apple Airpods Headphones,27
Atlanta,17,Bose SoundSport Headphones,25
Atlanta,17,Flatscreen TV,12
Atlanta,17,Google Phone,10
Atlanta,17,LG Washing Machine,1
Atlanta,17,Lightning Charging Cable,38
Atlanta,17,Macbook Pro Laptop,13
Atlanta,17,ThinkPad Laptop,11
Atlanta,17,USB-C Charging Cable,42
Atlanta,17,Vareebadd Phone,4
Atlanta,17,Wired Headphones,35
Atlanta,17,iPhone,13
Atlanta,18,20in Monitor,8
Atlanta,18,27in 4K Gaming Monitor,6
Atlanta,18,27in FHD Monitor,18
Atlanta,18,34in Ultrawide Monitor,11
Atlanta,18,AA Batteries (4-pack),45
Atlanta,18,AAA Batteries (4-pack),38
Atlanta,18,Apple Airpods Headphones,28
Atlanta,18,Bose SoundSport Headphones,23
Atlanta,18,Flatscreen TV,10
Atlanta,18,Google Phone,13
Atlanta,18,LG Dryer,1
Atlanta,18,LG Washing Machine,1
Atlanta,18,Lightning Charging Cable,39
Atlanta,18,Macbook Pro Laptop,4
Atlanta,18,ThinkPad Laptop,7
Atlanta,18,USB-C Charging Cable,36
Atlanta,18,Vareebadd Phone,5
Atlanta,18,Wired Headphones,34
Atlanta,18,iPhone,8
Atlanta,19,20in Monitor,9
Atlanta,19,27in 4K Gaming Monitor,6
Atlanta,19,27in FHD Monitor,12
Atlanta,19,34in Ultrawide Monitor,5
Atlanta,19,AA Batteries (4-pack),58
Atlanta,19,AAA Batteries (4-pack),44
Atlanta,19,Apple Airpods Headphones,25
Atlanta,19,Bose SoundSport Headphones,20
Atlanta,19,Flatscreen TV,5
Atlanta,19,Google Phone,9
Atlanta,19,LG Dryer,3
Atlanta,19,LG Washing Machine,1
Atlanta,19,Lightning Charging Cable,41
Atlanta,19,Macbook Pro Laptop,9
Atlanta,19,ThinkPad Laptop,7
Atlanta,19,USB-C Charging Cable,24
Atlanta,19,Vareebadd Phone,3
Atlanta,19,Wired Headphones,28
Atlanta,19,iPhone,14
Atlanta,20,20in Monitor,4
Atlanta,20,27in 4K Gaming Monitor,11
Atlanta,20,27in FHD Monitor,12
Atlanta,20,34in Ultrawide Monitor,6
Atlanta,20,AA Batteries (4-pack),51
Atlanta,20,AAA Batteries (4-pack),36
Atlanta,20,Apple Airpods Headphones,25
Atlanta,20,Bose SoundSport Headphones,21
Atlanta,20,Flatscreen TV,7
Atlanta,20,Google Phone,13
Atlanta,20,LG Dryer,1
Atlanta,20,Lightning Charging Cable,45
Atlanta,20,Macbook Pro Laptop,7
Atlanta,20,ThinkPad Laptop,6
Atlanta,20,USB-C Charging Cable,53
Atlanta,20,Vareebadd Phone,2
Atlanta,20,Wired Headphones,29
Atlanta,20,iPhone,8
Atlanta,21,20in Monitor,3
Atlanta,21,27in 4K Gaming Monitor,4
Atlanta,21,27in FHD Monitor,10
Atlanta,21,34in Ultrawide Monitor,10
Atlanta,21,AA Batteries (4-pack),42
Atlanta,21,AAA Batteries (4-pack),60
Atlanta,21,Apple Airpods Headphones,30
Atlanta,21,Bose SoundSport Headphones,24
Atlanta,21,Flatscreen TV,9
Atlanta,21,Google Phone,10
Atlanta,21,LG Dryer,2
Atlanta,21,Lightning Charging Cable,41
Atlanta,21,Macbook Pro Laptop,7
Atlanta,21,ThinkPad Laptop,7
Atlanta,21,USB-C Charging Cable,47
Atlanta,21,Vareebadd Phone,5
Atlanta,21,Wired Headphones,38
Atlanta,21,iPhone,12
Atlanta,22,20in Monitor,7
Atlanta,22,27in 4K Gaming Monitor,10
Atlanta,22,27in FHD Monitor,13
Atlanta,22,34in Ultrawide Monitor,12
Atlanta,22,AA Batteries (4-pack),24
Atlanta,22,AAA Batteries (4-pack),57
Atlanta,22,Apple Airpods Headphones,24
Atlanta,22,Bose SoundSport Headphones,28
Atlanta,22,Flatscreen TV,4
Atlanta,22,Google Phone,4
Atlanta,22,LG Dryer,1
Atlanta,22,LG Washing Machine,1
Atlanta,22,Lightning Charging Cable,36
Atlanta,22,Macbook Pro Laptop,7
Atlanta,22,ThinkPad Laptop,5
Atlanta,22,USB-C Charging Cable,37
Atlanta,22,Vareebadd Phone,5
Atlanta,22,Wired Headphones,33
Atlanta,22,iPhone,14
Atlanta,23,20in Monitor,4
Atlanta,23,27in 4K Gaming Monitor,9
Atlanta,23,27in FHD Monitor,14
Atlanta,23,34in Ultrawide Monitor,8
Atlanta,23,AA Batteries (4-pack),37
Atlanta,23,AAA Batteries (4-pack),41
Atlanta,23,Apple Airpods Headphones,24
Atlanta,23,Bose SoundSport Headphones,12
Atlanta,23,Flatscreen TV,11
Atlanta,23,Google Phone,7
Atlanta,23,LG Dryer,1
Atlanta,23,LG Washing Machine,2
Atlanta,23,Lightning Charging Cable,26
Atlanta,23,Macbook Pro Laptop,6
Atlanta,23,ThinkPad Laptop,9
Atlanta,23,USB-C Charging Cable,20
Atlanta,23,Vareebadd Phone,2
Atlanta,23,Wired Headphones,26
Atlanta,23,iPhone,5
Atlanta,24,20in Monitor,7
Atlanta,24,27in 4K Gaming Monitor,7
Atlanta,24,27in FHD Monitor,10
Atlanta,24,34in Ultrawide Monitor,5
Atlanta,24,AA Batteries (4-pack),61
Atlanta,24,AAA Batteries (4-pack),32
Atlanta,24,Apple Airpods Headphones,25
Atlanta,24,Bose SoundSport Headphones,22
Atlanta,24,Flatscreen TV,6
Atlanta,24,Google Phone,11
Atlanta,24,LG Washing Machine,4
Atlanta,24,Lightning Charging Cable,42
Atlanta,24,Macbook Pro Laptop,4
Atlanta,24,ThinkPad Laptop,5
Atlanta,24,USB-C Charging Cable,37
Atlanta,24,Vareebadd Phone,5
Atlanta,24,Wired Headphones,30
Atlanta,24,iPhone,8
Atlanta,25,20in Monitor,5
Atlanta,25,27in 4K Gaming Monitor,9
Atlanta,25,27in FHD Monitor,10
Atlanta,25,34in Ultrawide Monitor,14
Atlanta,25,AA Batteries (4-pack),32
Atlanta,25,AAA Batteries (4-pack),36
Atlanta,25,Apple Airpods Headphones,21
Atlanta,25,Bose SoundSport Headphones,22
Atlanta,25,Flatscreen TV,11
Atlanta,25,Google Phone,15
Atlanta,25,LG Washing Machine,2
Atlanta,25,Lightning Charging Cable,31
Atlanta,25,Macbook Pro Laptop,6
Atlanta,25,ThinkPad Laptop,6
Atlanta,25,USB-C Charging Cable,22
Atlanta,25,Vareebadd Phone,7
Atlanta,25,Wired Headphones,24
Atlanta,25,iPhone,12
Atlanta,26,20in Monitor,9
Atlanta,26,27in 4K Gaming Monitor,11
Atlanta,26,27in FHD Monitor,7
Atlanta,26,34in Ultrawide Monitor,6
Atlanta,26,AA Batteries (4-pack),32
Atlanta,26,AAA Batteries (4-pack),33
Atlanta,26,Apple Airpods Headphones,19
Atlanta,26,Bose SoundSport Headphones,24
Atlanta,26,Flatscreen TV,7
Atlanta,26,Google Phone,10
Atlanta,26,LG Dryer,2
Atlanta,26,LG Washing Machine,2
Atlanta,26,Lightning Charging Cable,31
Atlanta,26,Macbook Pro Laptop,7
Atlanta,26,ThinkPad Laptop,10
Atlanta,26,USB-C Charging Cable,24
Atlanta,26,Vareebadd Phone,1
Atlanta,26,Wired Headphones,31
Atlanta,26,iPhone,8
Atlanta,27,20in Monitor,4
Atlanta,27,27in 4K Gaming Monitor,12
Atlanta,27,27in FHD Monitor,9
Atlanta,27,34in Ultrawide Monitor,6
Atlanta,27,AA Batteries (4-pack),36
Atlanta,27,AAA Batteries (4-pack),30
Atlanta,27,Apple Airpods Headphones,24
Atlanta,27,Bose SoundSport Headphones,20
Atlanta,27,Flatscreen TV,13
Atlanta,27,Google Phone,4
Atlanta,27,LG Washing Machine,4
Atlanta,27,Lightning Charging Cable,25
Atlanta,27,Macbook Pro Laptop,8
Atlanta,27,ThinkPad Laptop,7
Atlanta,27,USB-C Charging Cable,28
Atlanta,27,Vareebadd Phone,3
Atlanta,27,Wired Headphones,24
Atlanta,27,iPhone,10
Atlanta,28,20in Monitor,7
Atlanta,28,27in 4K Gaming Monitor,8
Atlanta,28,27in FHD Monitor,20
Atlanta,28,34in Ultrawide Monitor,13
Atlanta,28,AA Batteries (4-pack),39
Atlanta,28,AAA Batteries (4-pack),32
Atlanta,28,Apple Airpods Headphones,27
Atlanta,28,Bose SoundSport Headphones,22
Atlanta,28,Flatscreen TV,2
Atlanta,28,Google Phone,6
Atlanta,28,LG Dryer,4
Atlanta,28,Lightning Charging Cable,35
Atlanta,28,Macbook Pro Laptop,6
Atlanta,28,ThinkPad Laptop,5
Atlanta,28,USB-C Charging Cable,40
Atlanta,28,Vareebadd Phone,3
Atlanta,28,Wired Headphones,32
Atlanta,28,iPhone,11
Atlanta,29,20in Monitor,5
Atlanta,29,27in 4K Gaming Monitor,10
Atlanta,29,27in FHD Monitor,11
Atlanta,29,34in Ultrawide Monitor,7
Atlanta,29,AA Batteries (4-pack),38
Atlanta,29,AAA Batteries (4-pack),43
Atlanta,29,Apple Airpods Headphones,15
Atlanta,29,Bose SoundSport Headphones,24
Atlanta,29,Flatscreen TV,5
Atlanta,29,Google Phone,8
Atlanta,29,LG Dryer,1
Atlanta,29,LG Washing Machine,2
Atlanta,29,Lightning Charging Cable,21
Atlanta,29,Macbook Pro Laptop,7
Atlanta,29,ThinkPad Laptop,7
Atlanta,29,USB-C Charging Cable,23
Atlanta,29,Vareebadd Phone,4
Atlanta,29,Wired Headphones,26
Atlanta,29,iPhone,9
Atlanta,30,20in Monitor,8
Atlanta,30,27in 4K Gaming Monitor,3
Atlanta,30,27in FHD Monitor,11
Atlanta,30,34in Ultrawide Monitor,8
Atlanta,30,AA Batteries (4-pack),42
Atlanta,30,AAA Batteries (4-pack),47
Atlanta,30,Apple Airpods Headphones,20
Atlanta,30,Bose SoundSport Headphones,18
Atlanta,30,Flatscreen TV,6
Atlanta,30,Google Phone,9
Atlanta,30,LG Dryer,1
Atlanta,30,LG Washing Machine,1
Atlanta,30,Lightning Charging Cable,37
Atlanta,30,Macbook Pro Laptop,7
Atlanta,30,ThinkPad Laptop,4
Atlanta,30,USB-C Charging Cable,37
Atlanta,30,Vareebadd Phone,3
Atlanta,30,Wired Headphones,28
Atlanta,30,iPhone,3
Atlanta,31,20in Monitor,11
Atlanta,31,27in 4K Gaming Monitor,5
Atlanta,31,27in FHD Monitor,6
Atlanta,31,34in Ultrawide Monitor,2
Atlanta,31,AA Batteries (4-pack),34
Atlanta,31,AAA Batteries (4-pack),33
Atlanta,31,Apple Airpods Headphones,20
Atlanta,31,Bose SoundSport Headphones,10
Atlanta,31,Flatscreen TV,3
Atlanta,31,Google Phone,8
Atlanta,31,LG Dryer,1
Atlanta,31,Lightning Charging Cable,25
Atlanta,31,Macbook Pro Laptop,4
Atlanta,31,ThinkPad Laptop,5
Atlanta,31,USB-C Charging Cable,28
Atlanta,31,Vareebadd Phone,2
Atlanta,31,Wired Headphones,28
Atlanta,31,iPhone,18
Atlanta,32,20in Monitor,7
Atlanta,32,27in 4K Gaming Monitor,16
Atlanta,32,27in FHD Monitor,10
Atlanta,32,34in Ultrawide Monitor,6
Atlanta,32,AA Batteries (4-pack),28
Atlanta,32,AAA Batteries (4-pack),33
Atlanta,32,Apple Airpods Headphones,20
Atlanta,32,Bose SoundSport Headphones,21
Atlanta,32,Flatscreen TV,5
Atlanta,32,Google Phone,10
Atlanta,32,LG Dryer,1
Atlanta,32,Lightning Charging Cable,19
Atlanta,32,Macbook Pro Laptop,6
Atlanta,32,ThinkPad Laptop,4
Atlanta,32,USB-C Charging Cable,18
Atlanta,32,Vareebadd Phone,3
Atlanta,32,Wired Headphones,23
Atlanta,32,iPhone,7
Atlanta,33,20in Monitor,6
Atlanta,33,27in 4K Gaming Monitor,6
Atlanta,33,27in FHD Monitor,4
Atlanta,33,34in Ultrawide Monitor,8
Atlanta,33,AA Batteries (4-pack),31
Atlanta,33,AAA Batteries (4-pack),42
Atlanta,33,Apple Airpods Headphones,18
Atlanta,33,Bose SoundSport Headphones,17
Atlanta,33,Flatscreen TV,7
Atlanta,33,Google Phone,6
Atlanta,33,LG Washing Machine,1
Atlanta,33,Lightning Charging Cable,23
Atlanta,33,Macbook Pro Laptop,3
Atlanta,33,ThinkPad Laptop,1
Atlanta,33,USB-C Charging Cable,29
Atlanta,33,Vareebadd Phone,5
Atlanta,33,Wired Headphones,23
Atlanta,33,iPhone,6
Atlanta,34,20in Monitor,7
Atlanta,34,27in 4K Gaming Monitor,9
Atlanta,34,27in FHD Monitor,11
Atlanta,34,34in Ultrawide Monitor,7
Atlanta,34,AA Batteries (4-pack),42
Atlanta,34,AAA Batteries (4-pack),43
Atlanta,34,Apple Airpods Headphones,19
Atlanta,34,Bose SoundSport Headphones,11
Atlanta,34,Flatscreen TV,3
Atlanta,34,Google Phone,5
Atlanta,34,LG Dryer,3
Atlanta,34,Lightning Charging Cable,34
Atlanta,34,Macbook Pro Laptop,6
Atlanta,34,ThinkPad Laptop,3
Atlanta,34,USB-C Charging Cable,27
Atlanta,34,Vareebadd Phone,2
Atlanta,34,Wired Headphones,29
Atlanta,34,iPhone,5
Atlanta,35,20in Monitor,6
Atlanta,35,27in 4K Gaming Monitor,12
Atlanta,35,27in FHD Monitor,5
Atlanta,35,34in Ultrawide Monitor,6
Atlanta,35,AA Batteries (4-pack),25
Atlanta,35,AAA Batteries (4-pack),33
Atlanta,35,Apple Airpods Headphones,22
Atlanta,35,Bose SoundSport Headphones,10
Atlanta,35,Flatscreen TV,6
Atlanta,35,Google Phone,4
Atlanta,35,Lightning Charging Cable,28
Atlanta,35,Macbook Pro Laptop,6
Atlanta,35,ThinkPad Laptop,5
Atlanta,35,USB-C Charging Cable,19
Atlanta,35,Vareebadd Phone,4
Atlanta,35,Wired Headphones,23
Atlanta,35,iPhone,6
Atlanta,36,20in Monitor,5
Atlanta,36,27in 4K Gaming Monitor,16
Atlanta,36,27in FHD Monitor,8
Atlanta,36,34in Ultrawide Monitor,7
Atlanta,36,AA Batteries (4-pack),46
Atlanta,36,AAA Batteries (4-pack),40
Atlanta,36,Apple Airpods Headphones,17
Atlanta,36,Bose SoundSport Headphones,12
Atlanta,36,Flatscreen TV,6
Atlanta,36,Google Phone,7
Atlanta,36,LG Dryer,1
Atlanta,36,Lightning Charging Cable,23
Atlanta,36,Macbook Pro Laptop,6
Atlanta,36,ThinkPad Laptop,7
Atlanta,36,USB-C Charging Cable,27
Atlanta,36,Vareebadd Phone,1
Atlanta,36,Wired Headphones,25
Atlanta,36,iPhone,6
Atlanta,37,20in Monitor,4
Atlanta,37,27in 4K Gaming Monitor,3
Atlanta,37,27in FHD Monitor,12
Atlanta,37,34in Ultrawide Monitor,7
Atlanta,37,AA Batteries (4-pack),30
Atlanta,37,AAA Batteries (4-pack),36
Atlanta,37,Apple Airpods Headphones,15
Atlanta,37,Bose SoundSport Headphones,22
Atlanta,37,Flatscreen TV,4
Atlanta,37,Google Phone,4
Atlanta,37,LG Dryer,1
Atlanta,37,LG Washing Machine,2
Atlanta,37,Lightning Charging Cable,26
Atlanta,37,Macbook Pro Laptop,5
Atlanta,37,ThinkPad Laptop,3
Atlanta,37,USB-C Charging Cable,26
Atlanta,37,Vareebadd Phone,1
Atlanta,37,Wired Headphones,25
Atlanta,37,iPhone,6
Atlanta,38,20in Monitor,7
Atlanta,38,27in 4K Gaming Monitor,8
Atlanta,38,27in FHD Monitor,6
Atlanta,38,34in Ultrawide Monitor,7
Atlanta,38,AA Batteries (4-pack),37
Atlanta,38,AAA Batteries (4-pack),37
Atlanta,38,Apple Airpods Headphones,11
Atlanta,38,Bose SoundSport Headphones,17
Atlanta,38,Flatscreen TV,4
Atlanta,38,Google Phone,5
Atlanta,38,Lightning Charging Cable,24
Atlanta,38,Macbook Pro Laptop,5
Atlanta,38,ThinkPad Laptop,6
Atlanta,38,USB-C Charging Cable,24
Atlanta,38,Vareebadd Phone,1
